feedback_id,student_id,feedback_score,feedback_category,submitted_date
FBK10107,211106,4,Poor,23/11/2021
FBK10108,211107,6,Average,07/03/2021
FBK10109,211108,7,Good,02/04/2021
FBK10110,211109,10,Excellent,18/12/2021
FBK10111,211110,9,Excellent,11/12/2021
FBK10112,211111,5,Average,19/01/2021
FBK10113,211112,7,Good,28/09/2021
FBK10114,211113,4,Poor,02/03/2021
FBK10115,211114,9,Excellent,28/02/2021
FBK10116,211115,9,Excellent,20/02/2021
FBK10117,211116,5,Average,28/11/2021
FBK10118,211117,7,Good,04/07/2021
FBK10119,211118,7,Good,19/04/2021
FBK10120,211119,4,Poor,20/01/2021
FBK10121,211120,8,Good,22/07/2021
FBK10122,211121,7,Good,17/10/2021
FBK10123,211122,8,Good,07/05/2021
FBK10124,211123,7,Good,09/04/2021
FBK10125,211124,1,Poor,22/03/2021
FBK10126,211125,6,Average,11/08/2021
FBK10127,211126,1,Poor,15/01/2021
FBK10128,211127,9,Excellent,04/10/2021
FBK10129,211128,9,Excellent,07/09/2021
FBK10130,211129,9,Excellent,05/05/2021
FBK10131,211130,6,Average,08/02/2021
FBK10132,211131,3,Poor,06/05/2021
FBK10133,211132,9,Excellent,23/09/2021
FBK10134,211133,10,Excellent,26/10/2021
FBK10135,211134,3,Poor,22/01/2021
FBK10136,211135,7,Good,22/05/2021
FBK10137,211136,3,Poor,09/03/2021
FBK10138,211137,8,Good,24/02/2021
FBK10139,211138,8,Good,09/03/2021
FBK10140,211139,4,Poor,07/10/2021
FBK10141,211140,7,Good,22/04/2021
FBK10142,211141,7,Good,16/09/2021
FBK10143,211142,5,Average,03/01/2021
FBK10144,211143,9,Excellent,02/05/2021
FBK10145,211144,6,Average,25/06/2021
FBK10146,211145,5,Average,09/11/2021
FBK10147,211146,7,Good,15/12/2021
FBK10148,211147,8,Good,14/12/2021
FBK10149,211148,5,Average,04/01/2021
FBK10150,211149,6,Average,05/12/2021
FBK10151,211150,10,Excellent,27/01/2021
FBK10152,211151,7,Good,18/10/2021
FBK10153,211152,6,Average,05/07/2021
FBK10154,211153,7,Good,12/05/2021
FBK10155,211154,4,Poor,07/06/2021
FBK10156,211155,5,Average,04/11/2021
FBK10157,211156,6,Average,28/09/2021
FBK10158,211157,7,Good,24/10/2021
FBK10159,211158,5,Average,28/04/2021
FBK10160,211159,5,Average,14/03/2021
FBK10161,211160,3,Poor,24/03/2021
FBK10162,211161,7,Good,26/07/2021
FBK10163,211162,5,Average,06/05/2021
FBK10164,211163,9,Excellent,28/07/2021
FBK10165,211164,9,Excellent,08/08/2021
FBK10166,211165,3,Poor,12/08/2021
FBK10167,211166,5,Average,08/04/2021
FBK10168,211167,8,Good,07/11/2021
FBK10169,211168,5,Average,09/06/2021
FBK10170,211169,4,Poor,12/05/2021
FBK10171,211170,10,Excellent,22/07/2021
FBK10172,211171,7,Good,01/06/2021
FBK10173,211172,7,Good,06/05/2021
FBK10174,211173,8,Good,02/05/2021
FBK10175,211174,8,Good,14/10/2021
FBK10176,211175,5,Average,26/12/2021
FBK10177,211176,3,Poor,20/07/2021
FBK10178,211177,6,Average,13/02/2021
FBK10179,211178,6,Average,09/04/2021
FBK10180,211179,7,Good,14/12/2021
FBK10181,211180,8,Good,26/09/2021
FBK10182,211181,8,Good,24/11/2021
FBK10183,211182,10,Excellent,14/06/2021
FBK10184,211183,3,Poor,11/11/2021
FBK10185,211184,6,Average,22/06/2021
FBK10186,211185,6,Average,10/12/2021
FBK10187,211186,9,Excellent,22/05/2021
FBK10188,211187,5,Average,13/06/2021
FBK10189,211188,5,Average,05/09/2021
FBK10190,211189,6,Average,22/07/2021
FBK10191,211190,6,Average,24/11/2021
FBK10192,211191,5,Average,19/10/2021
FBK10193,211192,5,Average,18/07/2021
FBK10194,211193,9,Excellent,10/05/2021
FBK10195,211194,6,Average,26/07/2021
FBK10196,211195,9,Excellent,21/10/2021
FBK10197,211196,7,Good,15/08/2021
FBK10198,211197,3,Poor,07/11/2021
FBK10199,211198,10,Excellent,26/08/2021
FBK10200,211199,9,Excellent,03/11/2021
FBK10201,211200,10,Excellent,22/09/2021
FBK10202,211201,9,Excellent,03/06/2021
FBK10203,211202,9,Excellent,10/11/2021
FBK10204,211203,4,Poor,05/04/2021
FBK10205,211204,7,Good,08/01/2021
FBK10206,211205,5,Average,28/10/2021
FBK10207,211206,6,Average,14/08/2021
FBK10208,211207,3,Poor,23/04/2021
FBK10209,211208,6,Average,13/08/2021
FBK10210,211209,10,Excellent,21/03/2021
FBK10211,211210,5,Average,25/02/2021
FBK10212,211211,8,Good,06/04/2021
FBK10213,211212,7,Good,02/08/2021
FBK10214,211213,6,Average,28/04/2021
FBK10215,211214,10,Excellent,05/08/2021
FBK10216,211215,10,Excellent,17/11/2021
FBK10217,211216,7,Good,11/10/2021
FBK10218,211217,8,Good,27/10/2021
FBK10219,211218,4,Poor,27/07/2021
FBK10220,211219,5,Average,06/08/2021
FBK10221,211220,10,Excellent,09/08/2021
FBK10222,211221,7,Good,09/11/2021
FBK10223,211222,7,Good,21/08/2021
FBK10224,211223,8,Good,15/05/2021
FBK10225,211224,3,Poor,10/12/2021
FBK10226,211225,7,Good,11/05/2021
FBK10227,211226,7,Good,03/09/2021
FBK10228,211227,9,Excellent,08/03/2021
FBK10229,211228,4,Poor,05/12/2021
FBK10230,211229,10,Excellent,14/02/2021
FBK10231,211230,3,Poor,18/06/2021
FBK10232,211231,5,Average,02/07/2021
FBK10233,211232,7,Good,13/07/2021
FBK10234,211233,8,Good,01/12/2021
FBK10235,211234,5,Average,16/07/2021
FBK10236,211235,4,Poor,10/06/2021
FBK10237,211236,9,Excellent,18/07/2021
FBK10238,211237,5,Average,08/10/2021
FBK10239,211238,7,Good,09/04/2021
FBK10240,211239,7,Good,01/08/2021
FBK10241,211240,6,Average,22/06/2021
FBK10242,211241,7,Good,06/12/2021
FBK10243,211242,7,Good,20/03/2021
FBK10244,211243,10,Excellent,13/01/2021
FBK10245,211244,5,Average,22/10/2021
FBK10246,211245,8,Good,21/02/2021
FBK10247,211246,5,Average,28/03/2021
FBK10248,211247,6,Average,02/03/2021
FBK10249,211248,8,Good,11/07/2021
FBK10250,211249,5,Average,11/08/2021
FBK10251,211250,6,Average,09/07/2021
FBK10252,211251,8,Good,27/05/2021
FBK10253,211252,3,Poor,01/08/2021
FBK10254,211253,7,Good,12/01/2021
FBK10255,211254,10,Excellent,03/11/2021
FBK10256,211255,10,Excellent,08/01/2021
FBK10257,211256,3,Poor,20/01/2021
FBK10258,211257,5,Average,05/04/2021
FBK10259,211258,5,Average,04/11/2021
FBK10260,211259,10,Excellent,15/04/2021
FBK10261,211260,9,Excellent,06/06/2021
FBK10262,211261,9,Excellent,24/10/2021
FBK10263,211262,6,Average,10/03/2021
FBK10264,211263,4,Poor,01/10/2021
FBK10265,211264,9,Excellent,22/10/2021
FBK10266,211265,8,Good,23/07/2021
FBK10267,211266,7,Good,19/02/2021
FBK10268,211267,10,Excellent,23/02/2021
FBK10269,211268,8,Good,20/11/2021
FBK10270,211269,1,Poor,26/10/2021
FBK10271,211270,8,Good,18/06/2021
FBK10272,211271,5,Average,12/11/2021
FBK10273,211272,8,Good,21/09/2021
FBK10274,211273,10,Excellent,28/01/2021
FBK10275,211274,4,Poor,04/08/2021
FBK10276,211275,4,Poor,21/06/2021
FBK10277,211276,4,Poor,05/12/2021
FBK10278,211277,7,Good,24/03/2021
FBK10279,211278,5,Average,09/11/2021
FBK10280,211279,7,Good,25/09/2021
FBK10281,211280,8,Good,14/08/2021
FBK10282,211281,5,Average,11/05/2021
FBK10283,211282,7,Good,09/02/2021
FBK10284,211283,5,Average,25/04/2021
FBK10285,211284,7,Good,20/10/2021
FBK10286,211285,9,Excellent,01/06/2021
FBK10287,211286,9,Excellent,06/06/2021
FBK10288,211287,3,Poor,12/04/2021
FBK10289,211288,6,Average,09/06/2021
FBK10290,211289,5,Average,09/12/2021
FBK10291,211290,1,Poor,17/01/2021
FBK10292,211291,8,Good,08/02/2021
FBK10293,211292,7,Good,18/08/2021
FBK10294,211293,5,Average,16/12/2021
FBK10295,211294,8,Good,26/08/2021
FBK10296,211295,7,Good,10/02/2021
FBK10297,211296,6,Average,23/07/2021
FBK10298,211297,1,Poor,22/05/2021
FBK10299,211298,3,Poor,16/06/2021
FBK10300,211299,9,Excellent,12/09/2021
FBK10301,211300,9,Excellent,18/12/2021
FBK10302,211301,7,Good,23/06/2021
FBK10303,211302,9,Excellent,10/05/2021
FBK10304,211303,7,Good,04/04/2021
FBK10305,211304,4,Poor,04/06/2021
FBK10306,211305,4,Poor,06/12/2021
FBK10307,211306,6,Average,24/04/2021
FBK10308,211307,9,Excellent,24/05/2021
FBK10309,211308,8,Good,20/09/2021
FBK10310,211309,9,Excellent,27/02/2021
FBK10311,211310,9,Excellent,08/05/2021
FBK10312,211311,5,Average,10/03/2021
FBK10313,211312,5,Average,18/12/2021
FBK10314,211313,4,Poor,02/05/2021
FBK10315,211314,8,Good,10/09/2021
FBK10316,211315,9,Excellent,28/11/2021
FBK10317,211316,6,Average,28/02/2021
FBK10318,211317,7,Good,10/10/2021
FBK10319,211318,4,Poor,15/08/2021
FBK10320,211319,9,Excellent,02/03/2021
FBK10321,211320,9,Excellent,04/08/2021
FBK10322,211321,10,Excellent,16/07/2021
FBK10323,211322,8,Good,21/10/2021
FBK10324,211323,9,Excellent,05/03/2021
FBK10325,211324,2,Poor,03/05/2021
FBK10326,211325,8,Good,18/02/2021
FBK10327,211326,6,Average,20/10/2021
FBK10328,211327,10,Excellent,25/04/2021
FBK10329,211328,8,Good,15/07/2021
FBK10330,211329,9,Excellent,28/05/2021
FBK10331,211330,8,Good,10/07/2021
FBK10332,211331,5,Average,02/10/2021
FBK10333,211332,8,Good,04/12/2021
FBK10334,211333,4,Poor,07/11/2021
FBK10335,211334,9,Excellent,03/11/2021
FBK10336,211335,9,Excellent,06/04/2021
FBK10337,211336,5,Average,06/02/2021
FBK10338,211337,8,Good,15/07/2021
FBK10339,211338,7,Good,10/08/2021
FBK10340,211339,6,Average,10/04/2021
FBK10341,211340,8,Good,28/12/2021
FBK10342,211341,5,Average,22/02/2021
FBK10343,211342,2,Poor,26/05/2021
FBK10344,211343,5,Average,26/11/2021
FBK10345,211344,6,Average,04/07/2021
FBK10346,211345,9,Excellent,21/04/2021
FBK10347,211346,10,Excellent,27/05/2021
FBK10348,211347,5,Average,02/02/2021
FBK10349,211348,7,Good,20/05/2021
FBK10350,211349,6,Average,15/05/2021
FBK10351,211350,10,Excellent,23/08/2021
FBK10352,211351,7,Good,13/12/2021
FBK10353,211352,10,Excellent,18/09/2021
FBK10354,211353,4,Poor,03/08/2021
FBK10355,211354,10,Excellent,14/01/2021
FBK10356,211355,4,Poor,09/10/2021
FBK10357,211356,10,Excellent,08/02/2021
FBK10358,211357,5,Average,01/10/2021
FBK10359,211358,4,Poor,02/10/2021
FBK10360,211359,6,Average,17/08/2021
FBK10361,211360,8,Good,06/05/2021
FBK10362,211361,6,Average,21/07/2021
FBK10363,211362,7,Good,16/02/2021
FBK10364,211363,7,Good,11/07/2021
FBK10365,211364,6,Average,04/11/2021
FBK10366,211365,7,Good,14/06/2021
FBK10367,211366,5,Average,22/05/2021
FBK10368,211367,8,Good,02/09/2021
FBK10369,211368,1,Poor,11/02/2021
FBK10370,211369,9,Excellent,04/06/2021
FBK10371,211370,7,Good,27/09/2021
FBK10372,211371,8,Good,28/11/2021
FBK10373,211372,8,Good,14/08/2021
FBK10374,211373,8,Good,17/04/2021
FBK10375,211374,6,Average,25/10/2021
FBK10376,211375,3,Poor,15/11/2021
FBK10377,211376,8,Good,09/04/2021
FBK10378,211377,6,Average,10/03/2021
FBK10379,211378,6,Average,16/12/2021
FBK10380,211379,9,Excellent,21/01/2021
FBK10381,211380,8,Good,23/04/2021
FBK10382,211381,6,Average,18/05/2021
FBK10383,211382,6,Average,14/09/2021
FBK10384,211383,6,Average,27/04/2021
FBK10385,211384,6,Average,04/08/2021
FBK10386,211385,5,Average,23/08/2021
FBK10387,211386,4,Poor,23/09/2021
FBK10388,211387,6,Average,27/07/2021
FBK10389,211388,10,Excellent,08/08/2021
FBK10390,211389,8,Good,05/09/2021
FBK10391,211390,9,Excellent,20/04/2021
FBK10392,211391,7,Good,05/12/2021
FBK10393,211392,6,Average,25/05/2021
FBK10394,211393,7,Good,26/06/2021
FBK10395,211394,1,Poor,27/05/2021
FBK10396,211395,5,Average,24/05/2021
FBK10397,211396,6,Average,19/10/2021
FBK10398,211397,7,Good,15/03/2021
FBK10399,211398,8,Good,12/08/2021
FBK10400,211399,7,Good,25/09/2021
FBK10401,211400,6,Average,15/07/2021
FBK10402,211401,5,Average,23/04/2021
FBK10403,211402,7,Good,13/10/2021
FBK10404,211403,9,Excellent,02/07/2021
FBK10405,211404,8,Good,16/12/2021
FBK10406,211405,4,Poor,22/07/2021
FBK10407,211406,3,Poor,02/08/2021
FBK10408,211407,7,Good,19/09/2021
FBK10409,211408,7,Good,28/02/2021
FBK10410,211409,6,Average,17/02/2021
FBK10411,211410,8,Good,24/01/2021
FBK10412,211411,8,Good,28/07/2021
FBK10413,211412,8,Good,16/02/2021
FBK10414,211413,5,Average,20/06/2021
FBK10415,211414,5,Average,03/11/2021
FBK10416,211415,2,Poor,28/11/2021
FBK10417,211416,5,Average,11/07/2021
FBK10418,211417,7,Good,02/09/2021
FBK10419,211418,9,Excellent,08/02/2021
FBK10420,211419,3,Poor,24/04/2021
FBK10421,211420,6,Average,04/07/2021
FBK10422,211421,7,Good,06/08/2021
FBK10423,211422,5,Average,02/01/2021
FBK10424,211423,8,Good,10/01/2021
FBK10425,211424,7,Good,14/06/2021
FBK10426,211425,5,Average,17/04/2021
FBK10427,211426,8,Good,22/10/2021
FBK10428,211427,1,Poor,06/03/2021
FBK10429,211428,8,Good,28/10/2021
FBK10430,211429,8,Good,22/10/2021
FBK10431,211430,4,Poor,19/08/2021
FBK10432,211431,6,Average,15/04/2021
FBK10433,211432,4,Poor,09/08/2021
FBK10434,211433,10,Excellent,10/08/2021
FBK10435,211434,7,Good,03/03/2021
FBK10436,211435,3,Poor,19/06/2021
FBK10437,211436,5,Average,14/11/2021
FBK10438,211437,9,Excellent,28/08/2021
FBK10439,211438,7,Good,13/04/2021
FBK10440,211439,8,Good,08/02/2021
FBK10441,211440,8,Good,12/10/2021
FBK10442,211441,10,Excellent,23/05/2021
FBK10443,211442,7,Good,27/01/2021
FBK10444,211443,10,Excellent,01/05/2021
FBK10445,211444,9,Excellent,25/11/2021
FBK10446,211445,7,Good,24/10/2021
FBK10447,211446,8,Good,25/05/2021
FBK10448,211447,7,Good,26/10/2021
FBK10449,211448,9,Excellent,21/04/2021
FBK10450,211449,7,Good,09/10/2021
FBK10451,211450,9,Excellent,04/11/2021
FBK10452,211451,8,Good,26/05/2021
FBK10453,211452,7,Good,19/01/2021
FBK10454,211453,5,Average,05/12/2021
FBK10455,211454,5,Average,11/05/2021
FBK10456,211455,7,Good,07/03/2021
FBK10457,211456,8,Good,12/09/2021
FBK10458,211457,7,Good,09/09/2021
FBK10459,211458,7,Good,27/05/2021
FBK10460,211459,5,Average,24/05/2021
FBK10461,211460,3,Poor,15/02/2021
FBK10462,211461,5,Average,25/03/2021
FBK10463,211462,5,Average,24/11/2021
FBK10464,211463,6,Average,12/09/2021
FBK10465,211464,7,Good,01/07/2021
FBK10466,211465,4,Poor,04/09/2021
FBK10467,211466,5,Average,22/06/2021
FBK10468,211467,8,Good,13/10/2021
FBK10469,211468,8,Good,22/02/2021
FBK10470,211469,3,Poor,01/08/2021
FBK10471,211470,6,Average,11/09/2021
FBK10472,211471,7,Good,21/04/2021
FBK10473,211472,6,Average,27/11/2021
FBK10474,211473,5,Average,10/12/2021
FBK10475,211474,6,Average,05/02/2021
FBK10476,211475,9,Excellent,10/01/2021
FBK10477,211476,7,Good,04/02/2021
FBK10478,211477,8,Good,05/09/2021
FBK10479,211478,9,Excellent,12/08/2021
FBK10480,211479,8,Good,19/07/2021
FBK10481,211480,6,Average,21/07/2021
FBK10482,211481,1,Poor,20/08/2021
FBK10483,211482,6,Average,02/05/2021
FBK10484,211483,8,Good,15/04/2021
FBK10485,211484,9,Excellent,28/04/2021
FBK10486,211485,10,Excellent,22/02/2021
FBK10487,211486,6,Average,21/09/2021
FBK10488,211487,8,Good,13/01/2021
FBK10489,211488,7,Good,04/04/2021
FBK10490,211489,7,Good,22/02/2021
FBK10491,211490,5,Average,21/11/2021
FBK10492,211491,5,Average,02/01/2021
FBK10493,211492,6,Average,05/04/2021
FBK10494,211493,2,Poor,03/04/2021
FBK10495,211494,6,Average,19/04/2021
FBK10496,211495,8,Good,11/04/2021
FBK10497,211496,6,Average,01/10/2021
FBK10498,211497,4,Poor,05/03/2021
FBK10499,211498,7,Good,26/05/2021
FBK10500,211499,4,Poor,22/02/2021
FBK10501,211500,7,Good,01/03/2021
FBK10502,211501,2,Poor,19/04/2021
FBK10503,211502,6,Average,06/01/2021
FBK10504,211503,7,Good,05/01/2021
FBK10505,211504,2,Poor,04/09/2021
FBK10506,211505,7,Good,15/08/2021
FBK10507,211506,4,Poor,19/09/2021
FBK10508,211507,7,Good,17/08/2021
FBK10509,211508,3,Poor,02/10/2021
FBK10510,211509,6,Average,15/05/2021
FBK10511,211510,5,Average,16/01/2021
FBK10512,211511,6,Average,22/07/2021
FBK10513,211512,8,Good,23/08/2021
FBK10514,211513,6,Average,03/02/2021
FBK10515,211514,8,Good,05/10/2021
FBK10516,211515,9,Excellent,09/03/2021
FBK10517,211516,5,Average,19/11/2021
FBK10518,211517,3,Poor,11/12/2021
FBK10519,211518,1,Poor,17/10/2021
FBK10520,211519,7,Good,17/08/2021
FBK10521,211520,10,Excellent,04/07/2021
FBK10522,211521,6,Average,21/11/2021
FBK10523,211522,8,Good,28/12/2021
FBK10524,211523,8,Good,15/07/2021
FBK10525,211524,8,Good,11/07/2021
FBK10526,211525,8,Good,14/07/2021
FBK10527,211526,10,Excellent,14/06/2021
FBK10528,211527,5,Average,09/11/2021
FBK10529,211528,2,Poor,22/03/2021
FBK10530,211529,4,Poor,03/02/2021
FBK10531,211530,4,Poor,14/02/2021
FBK10532,211531,8,Good,24/12/2021
FBK10533,211532,7,Good,18/03/2021
FBK10534,211533,5,Average,18/10/2021
FBK10535,211534,8,Good,22/06/2021
FBK10536,211535,8,Good,12/07/2021
FBK10537,211536,4,Poor,02/12/2021
FBK10538,211537,7,Good,10/10/2021
FBK10539,211538,8,Good,19/02/2021
FBK10540,211539,4,Poor,05/04/2021
FBK10541,211540,8,Good,28/04/2021
FBK10542,211541,10,Excellent,28/06/2021
FBK10543,211542,4,Poor,04/06/2021
FBK10544,211543,2,Poor,08/10/2021
FBK10545,211544,6,Average,25/09/2021
FBK10546,211545,8,Good,22/10/2021
FBK10547,211546,10,Excellent,20/01/2021
FBK10548,211547,6,Average,06/01/2021
FBK10549,211548,8,Good,25/12/2021
FBK10550,211549,3,Poor,12/06/2021
FBK10551,211550,8,Good,28/03/2021
FBK10552,211551,7,Good,22/10/2021
FBK10553,211552,4,Poor,05/02/2021
FBK10554,211553,8,Good,24/02/2021
FBK10555,211554,9,Excellent,13/04/2021
FBK10556,211555,7,Good,11/08/2021
FBK10557,211556,4,Poor,10/06/2021
FBK10558,211557,10,Excellent,20/10/2021
FBK10559,211558,8,Good,05/01/2021
FBK10560,211559,6,Average,02/10/2021
FBK10561,211560,6,Average,15/05/2021
FBK10562,211561,6,Average,20/08/2021
FBK10563,211562,7,Good,09/07/2021
FBK10564,211563,6,Average,04/09/2021
FBK10565,211564,9,Excellent,04/07/2021
FBK10566,211565,8,Good,22/11/2021
FBK10567,211566,4,Poor,17/08/2021
FBK10568,211567,10,Excellent,08/01/2021
FBK10569,211568,7,Good,02/10/2021
FBK10570,211569,8,Good,10/04/2021
FBK10571,211570,8,Good,25/03/2021
FBK10572,211571,6,Average,11/05/2021
FBK10573,211572,8,Good,16/01/2021
FBK10574,211573,10,Excellent,05/03/2021
FBK10575,211574,5,Average,23/09/2021
FBK10576,211575,8,Good,18/09/2021
FBK10577,211576,7,Good,13/02/2021
FBK10578,211577,7,Good,01/07/2021
FBK10579,211578,6,Average,28/02/2021
FBK10580,211579,8,Good,14/10/2021
FBK10581,211580,5,Average,23/07/2021
FBK10582,211581,9,Excellent,04/05/2021
FBK10583,211582,9,Excellent,11/01/2021
FBK10584,211583,3,Poor,15/10/2021
FBK10585,211584,9,Excellent,14/02/2021
FBK10586,211585,5,Average,14/04/2021
FBK10587,211586,7,Good,17/07/2021
FBK10588,211587,7,Good,28/07/2021
FBK10589,211588,6,Average,11/12/2021
FBK10590,211589,2,Poor,25/06/2021
FBK10591,211590,9,Excellent,17/02/2021
FBK10592,211591,5,Average,17/09/2021
FBK10593,211592,5,Average,12/06/2021
FBK10594,211593,8,Good,04/04/2021
FBK10595,211594,6,Average,07/05/2021
FBK10596,211595,9,Excellent,05/10/2021
FBK10597,211596,8,Good,25/03/2021
FBK10598,211597,5,Average,25/08/2021
FBK10599,211598,1,Poor,15/10/2021
FBK10600,211599,10,Excellent,21/11/2021
FBK10601,211600,3,Poor,28/06/2021
FBK10602,211601,8,Good,15/03/2021
FBK10603,211602,7,Good,15/08/2021
FBK10604,211603,8,Good,19/05/2021
FBK10605,211604,8,Good,17/06/2021
FBK10606,211605,7,Good,15/05/2021
FBK10607,211606,7,Good,02/01/2021
FBK10608,211607,8,Good,03/05/2021
FBK10609,211608,3,Poor,20/10/2021
FBK10610,211609,5,Average,15/07/2021
FBK10611,211610,8,Good,26/09/2021
FBK10612,211611,6,Average,26/08/2021
FBK10613,211612,7,Good,07/11/2021
FBK10614,211613,7,Good,16/10/2021
FBK10615,211614,7,Good,02/03/2021
FBK10616,211615,6,Average,26/02/2021
FBK10617,211616,8,Good,03/12/2021
FBK10618,211617,6,Average,06/11/2021
FBK10619,211618,8,Good,23/04/2021
FBK10620,211619,5,Average,17/08/2021
FBK10621,211620,5,Average,06/10/2021
FBK10622,211621,4,Poor,10/06/2021
FBK10623,211622,5,Average,25/07/2021
FBK10624,211623,4,Poor,20/11/2021
FBK10625,211624,7,Good,21/11/2021
FBK10626,211625,8,Good,11/02/2021
FBK10627,211626,5,Average,22/09/2021
FBK10628,211627,5,Average,09/05/2021
FBK10629,211628,7,Good,11/03/2021
FBK10630,211629,8,Good,22/10/2021
FBK10631,211630,10,Excellent,10/06/2021
FBK10632,211631,7,Good,20/03/2021
FBK10633,211632,5,Average,18/05/2021
FBK10634,211633,4,Poor,26/11/2021
FBK10635,211634,5,Average,22/03/2021
FBK10636,211635,5,Average,21/02/2021
FBK10637,211636,4,Poor,12/09/2021
FBK10638,211637,1,Poor,10/06/2021
FBK10639,211638,7,Good,11/04/2021
FBK10640,211639,5,Average,08/04/2021
FBK10641,211640,10,Excellent,03/03/2021
FBK10642,211641,7,Good,17/02/2021
FBK10643,211642,8,Good,17/12/2021
FBK10644,211643,4,Poor,11/11/2021
FBK10645,211644,9,Excellent,20/03/2021
FBK10646,211645,7,Good,06/03/2021
FBK10647,211646,9,Excellent,25/12/2021
