enrollment_id,student_id,course_id,lecturer_id,enrollment_date,semester,enrollment_status
ENR10091,211066,COM1004,LEC1003,20/06/2021,Semester 1,Dropped
ENR10093,211067,ARC1010,LEC1122,15/07/2021,Semester 2,Completed
ENR10094,211068,BUS1009,LEC1034,24/08/2021,Semester 2,Completed
ENR10096,211069,ARC1005,LEC1124,24/07/2021,Semester 2,Completed
ENR10097,211070,COM1009,LEC1013,23/05/2021,Semester 1,Completed
ENR10099,211071,MED1005,LEC1030,14/05/2021,Semester 1,Completed
ENR10100,211072,COM1005,LEC1002,02/11/2021,Semester 2,Dropped
ENR10102,211073,ART1010,LEC1075,23/10/2021,Semester 2,Completed
ENR10103,211074,COM1006,LEC1012,12/08/2021,Semester 2,Completed
ENR10105,211075,SCI1006,LEC1077,07/12/2021,Semester 2,Completed
ENR10107,211076,ENG1005,LEC1095,08/12/2021,Semester 2,Dropped
ENR10109,211077,BUS1005,LEC1037,07/12/2021,Semester 2,Dropped
ENR10110,211078,AGR1009,LEC1115,04/06/2021,Semester 1,Dropped
ENR10111,211079,LAW1009,LEC1050,18/04/2021,Semester 1,Dropped
ENR10112,211080,SCI1010,LEC1083,15/08/2021,Semester 2,Completed
ENR10114,211081,ENG1006,LEC1101,21/11/2021,Semester 2,Completed
ENR10116,211082,BUS1006,LEC1033,13/01/2021,Semester 1,Completed
ENR10117,211083,ENG1001,LEC1100,07/02/2021,Semester 1,Dropped
ENR10118,211084,ARC1001,LEC1130,10/04/2021,Semester 1,Dropped
ENR10120,211085,SOC1007,LEC1149,24/02/2021,Semester 1,Dropped
ENR10121,211086,BUS1003,LEC1043,23/12/2021,Semester 2,Dropped
ENR10122,211087,AGR1002,LEC1109,04/03/2021,Semester 1,Dropped
ENR10123,211088,SCI1010,LEC1086,29/09/2021,Semester 2,Completed
ENR10124,211089,AGR1009,LEC1119,16/09/2021,Semester 2,Dropped
ENR10126,211090,LAW1004,LEC1058,07/05/2021,Semester 1,Completed
ENR10128,211091,LAW1006,LEC1053,09/02/2021,Semester 1,Completed
ENR10129,211092,LAW1005,LEC1051,13/06/2021,Semester 1,Completed
ENR10130,211093,MED1010,LEC1019,16/07/2021,Semester 2,Completed
ENR10131,211094,COM1009,LEC1007,28/07/2021,Semester 2,Completed
ENR10132,211095,SCI1004,LEC1076,16/04/2021,Semester 1,Dropped
ENR10134,211096,ENG1002,LEC1091,30/06/2021,Semester 1,Completed
ENR10136,211097,BUS1009,LEC1035,12/08/2021,Semester 2,Dropped
ENR10138,211098,SCI1010,LEC1090,07/03/2021,Semester 1,Completed
ENR10139,211099,AGR1006,LEC1115,06/12/2021,Semester 2,Completed
ENR10141,211100,BUS1004,LEC1031,14/05/2021,Semester 1,Dropped
ENR10143,211101,SOC1008,LEC1150,14/07/2021,Semester 2,Completed
ENR10145,211102,ENG1001,LEC1091,04/10/2021,Semester 2,Completed
ENR10146,211103,BUS1009,LEC1041,05/02/2021,Semester 1,Completed
ENR10148,211104,AGR1010,LEC1108,03/05/2021,Semester 1,Completed
ENR10149,211105,ARC1006,LEC1122,16/10/2021,Semester 2,Completed
ENR10151,211106,AGR1008,LEC1115,28/02/2021,Semester 1,Completed
ENR10152,211107,MED1004,LEC1025,14/01/2021,Semester 1,Completed
ENR10154,211108,COM1010,LEC1010,20/12/2021,Semester 2,Completed
ENR10155,211109,ARC1010,LEC1133,04/06/2021,Semester 1,Completed
ENR10156,211110,ART1005,LEC1069,08/08/2021,Semester 2,Completed
ENR10157,211111,ENG1005,LEC1101,24/06/2021,Semester 1,Completed
ENR10158,211112,ENG1003,LEC1092,10/08/2021,Semester 2,Completed
ENR10160,211113,BUS1003,LEC1042,25/09/2021,Semester 2,Completed
ENR10162,211114,SCI1006,LEC1089,31/10/2021,Semester 2,Completed
ENR10164,211115,SCI1008,LEC1079,26/08/2021,Semester 2,Dropped
ENR10166,211116,ENG1003,LEC1094,01/07/2021,Semester 2,Completed
ENR10167,211117,LAW1006,LEC1060,02/11/2021,Semester 2,Completed
ENR10169,211118,LAW1001,LEC1057,28/07/2021,Semester 2,Dropped
ENR10170,211119,ARC1009,LEC1128,27/11/2021,Semester 2,Dropped
ENR10171,211120,COM1003,LEC1002,31/05/2021,Semester 1,Completed
ENR10173,211121,ENG1001,LEC1099,29/09/2021,Semester 2,Completed
ENR10175,211122,ARC1010,LEC1128,19/05/2021,Semester 1,Completed
ENR10177,211123,MED1006,LEC1027,02/10/2021,Semester 2,Completed
ENR10179,211124,MED1003,LEC1029,10/04/2021,Semester 1,Completed
ENR10181,211125,SOC1001,LEC1144,06/03/2021,Semester 1,Completed
ENR10182,211126,COM1007,LEC1009,30/05/2021,Semester 1,Completed
ENR10183,211127,MED1004,LEC1029,07/01/2021,Semester 1,Completed
ENR10185,211128,COM1007,LEC1005,02/09/2021,Semester 2,Completed
ENR10186,211129,SCI1002,LEC1083,07/02/2021,Semester 1,Completed
ENR10187,211130,MED1010,LEC1028,16/10/2021,Semester 2,Completed
ENR10188,211131,LAW1002,LEC1047,13/10/2021,Semester 2,Dropped
ENR10189,211132,SOC1010,LEC1144,14/07/2021,Semester 2,Dropped
ENR10190,211133,LAW1009,LEC1059,29/10/2021,Semester 2,Dropped
ENR10192,211134,SOC1008,LEC1139,17/11/2021,Semester 2,Completed
ENR10193,211135,ARC1005,LEC1122,22/03/2021,Semester 1,Completed
ENR10195,211136,SCI1003,LEC1083,19/12/2021,Semester 2,Dropped
ENR10196,211137,COM1005,LEC1004,28/05/2021,Semester 1,Completed
ENR10198,211138,LAW1004,LEC1058,17/11/2021,Semester 2,Completed
ENR10199,211139,MED1005,LEC1024,26/04/2021,Semester 1,Completed
ENR10201,211140,BUS1002,LEC1043,07/06/2021,Semester 1,Completed
ENR10202,211141,MED1006,LEC1023,19/12/2021,Semester 2,Completed
ENR10204,211142,MED1001,LEC1025,21/01/2021,Semester 1,Dropped
ENR10206,211143,MED1002,LEC1019,12/12/2021,Semester 2,Completed
ENR10207,211144,AGR1004,LEC1106,31/03/2021,Semester 1,Dropped
ENR10209,211145,AGR1005,LEC1112,22/11/2021,Semester 2,Dropped
ENR10210,211146,ENG1001,LEC1096,29/07/2021,Semester 2,Completed
ENR10211,211147,ARC1006,LEC1122,24/03/2021,Semester 1,Completed
ENR10213,211148,SOC1008,LEC1144,19/01/2021,Semester 1,Dropped
ENR10215,211149,SOC1009,LEC1142,21/09/2021,Semester 2,Completed
ENR10216,211150,SCI1003,LEC1076,07/04/2021,Semester 1,Completed
ENR10218,211151,BUS1007,LEC1035,09/10/2021,Semester 2,Completed
ENR10219,211152,SCI1007,LEC1090,24/12/2021,Semester 2,Dropped
ENR10221,211153,LAW1010,LEC1054,08/01/2021,Semester 1,Dropped
ENR10222,211154,BUS1009,LEC1044,28/02/2021,Semester 1,Dropped
ENR10223,211155,ARC1003,LEC1134,20/03/2021,Semester 1,Dropped
ENR10224,211156,ENG1006,LEC1102,20/05/2021,Semester 1,Dropped
ENR10226,211157,ART1010,LEC1064,03/11/2021,Semester 2,Completed
ENR10227,211158,LAW1006,LEC1058,01/08/2021,Semester 2,Completed
ENR10228,211159,COM1001,LEC1005,02/06/2021,Semester 1,Dropped
ENR10230,211160,ART1003,LEC1069,06/10/2021,Semester 2,Dropped
ENR10232,211161,AGR1004,LEC1112,30/04/2021,Semester 1,Dropped
ENR10233,211162,ART1001,LEC1072,31/08/2021,Semester 2,Dropped
ENR10234,211163,ARC1005,LEC1133,30/11/2021,Semester 2,Completed
ENR10236,211164,SCI1007,LEC1077,27/09/2021,Semester 2,Dropped
ENR10237,211165,SOC1003,LEC1138,29/07/2021,Semester 2,Completed
ENR10238,211166,ENG1001,LEC1103,16/05/2021,Semester 1,Completed
ENR10239,211167,ARC1004,LEC1122,18/06/2021,Semester 1,Dropped
ENR10241,211168,LAW1001,LEC1056,17/12/2021,Semester 2,Completed
ENR10242,211169,SOC1006,LEC1137,11/08/2021,Semester 2,Completed
ENR10243,211170,SCI1007,LEC1078,22/12/2021,Semester 2,Completed
ENR10244,211171,COM1006,LEC1006,29/01/2021,Semester 1,Completed
ENR10245,211172,ART1008,LEC1067,16/03/2021,Semester 1,Completed
ENR10247,211173,BUS1003,LEC1032,09/11/2021,Semester 2,Dropped
ENR10248,211174,ENG1004,LEC1105,26/10/2021,Semester 2,Completed
ENR10249,211175,SCI1010,LEC1086,11/05/2021,Semester 1,Dropped
ENR10250,211176,ARC1006,LEC1121,27/08/2021,Semester 2,Completed
ENR10252,211177,ART1005,LEC1070,03/06/2021,Semester 1,Dropped
ENR10254,211178,ART1010,LEC1074,05/09/2021,Semester 2,Completed
ENR10255,211179,ART1009,LEC1070,03/07/2021,Semester 2,Completed
ENR10256,211180,COM1003,LEC1014,04/12/2021,Semester 2,Dropped
ENR10258,211181,LAW1007,LEC1058,28/04/2021,Semester 1,Completed
ENR10260,211182,ARC1001,LEC1122,18/11/2021,Semester 2,Completed
ENR10261,211183,SCI1007,LEC1076,24/10/2021,Semester 2,Completed
ENR10263,211184,SOC1006,LEC1142,31/03/2021,Semester 1,Completed
ENR10265,211185,BUS1002,LEC1035,04/09/2021,Semester 2,Completed
ENR10267,211186,COM1010,LEC1003,26/04/2021,Semester 1,Dropped
ENR10269,211187,LAW1004,LEC1054,05/03/2021,Semester 1,Dropped
ENR10270,211188,ARC1007,LEC1132,11/12/2021,Semester 2,Completed
ENR10272,211189,ARC1007,LEC1124,30/08/2021,Semester 2,Completed
ENR10273,211190,AGR1009,LEC1109,28/11/2021,Semester 2,Completed
ENR10275,211191,MED1005,LEC1018,24/01/2021,Semester 1,Completed
ENR10277,211192,ENG1009,LEC1093,18/07/2021,Semester 2,Dropped
ENR10278,211193,ARC1006,LEC1132,23/12/2021,Semester 2,Dropped
ENR10280,211194,ENG1003,LEC1100,28/07/2021,Semester 2,Completed
ENR10281,211195,ARC1009,LEC1126,22/04/2021,Semester 1,Dropped
ENR10282,211196,LAW1001,LEC1059,05/07/2021,Semester 2,Completed
ENR10284,211197,SCI1001,LEC1080,08/04/2021,Semester 1,Completed
ENR10285,211198,MED1002,LEC1026,19/04/2021,Semester 1,Completed
ENR10287,211199,AGR1003,LEC1109,05/02/2021,Semester 1,Completed
ENR10288,211200,BUS1010,LEC1036,17/03/2021,Semester 1,Completed
ENR10289,211201,MED1009,LEC1018,04/10/2021,Semester 2,Completed
ENR10291,211202,COM1002,LEC1006,02/05/2021,Semester 1,Completed
ENR10292,211203,BUS1003,LEC1035,27/01/2021,Semester 1,Completed
ENR10293,211204,ENG1008,LEC1092,02/02/2021,Semester 1,Dropped
ENR10295,211205,ENG1005,LEC1094,11/11/2021,Semester 2,Completed
ENR10297,211206,ARC1003,LEC1121,01/02/2021,Semester 1,Dropped
ENR10299,211207,SOC1002,LEC1150,16/08/2021,Semester 2,Completed
ENR10301,211208,MED1007,LEC1020,16/11/2021,Semester 2,Completed
ENR10302,211209,AGR1007,LEC1114,31/05/2021,Semester 1,Dropped
ENR10304,211210,ARC1004,LEC1131,10/10/2021,Semester 2,Completed
ENR10305,211211,SCI1008,LEC1090,27/04/2021,Semester 1,Dropped
ENR10307,211212,SOC1004,LEC1137,10/06/2021,Semester 1,Dropped
ENR10309,211213,ARC1008,LEC1135,31/08/2021,Semester 2,Completed
ENR10310,211214,MED1001,LEC1017,10/08/2021,Semester 2,Completed
ENR10311,211215,MED1007,LEC1024,31/01/2021,Semester 1,Completed
ENR10313,211216,SOC1003,LEC1136,28/05/2021,Semester 1,Completed
ENR10315,211217,ARC1005,LEC1128,25/04/2021,Semester 1,Completed
ENR10316,211218,AGR1002,LEC1111,28/02/2021,Semester 1,Completed
ENR10318,211219,COM1004,LEC1003,20/05/2021,Semester 1,Completed
ENR10320,211220,AGR1003,LEC1116,25/07/2021,Semester 2,Completed
ENR10321,211221,SOC1005,LEC1146,16/01/2021,Semester 1,Completed
ENR10322,211222,ART1009,LEC1067,21/08/2021,Semester 2,Completed
ENR10323,211223,ART1008,LEC1065,16/06/2021,Semester 1,Completed
ENR10324,211224,MED1010,LEC1018,13/11/2021,Semester 2,Completed
ENR10325,211225,LAW1005,LEC1053,05/12/2021,Semester 2,Dropped
ENR10326,211226,AGR1008,LEC1113,01/08/2021,Semester 2,Completed
ENR10328,211227,SCI1006,LEC1077,26/05/2021,Semester 1,Dropped
ENR10330,211228,SCI1001,LEC1085,29/01/2021,Semester 1,Completed
ENR10331,211229,LAW1009,LEC1049,12/03/2021,Semester 1,Completed
ENR10332,211230,ART1002,LEC1062,04/01/2021,Semester 1,Dropped
ENR10334,211231,ENG1009,LEC1102,28/04/2021,Semester 1,Completed
ENR10336,211232,SCI1009,LEC1090,09/02/2021,Semester 1,Completed
ENR10337,211233,AGR1004,LEC1112,30/12/2021,Semester 2,Dropped
ENR10339,211234,BUS1002,LEC1043,13/11/2021,Semester 2,Dropped
ENR10341,211235,MED1004,LEC1019,12/08/2021,Semester 2,Dropped
ENR10343,211236,BUS1009,LEC1036,28/03/2021,Semester 1,Completed
ENR10345,211237,ART1005,LEC1072,27/11/2021,Semester 2,Completed
ENR10347,211238,BUS1003,LEC1040,20/03/2021,Semester 1,Completed
ENR10348,211239,SOC1009,LEC1146,10/09/2021,Semester 2,Dropped
ENR10349,211240,ARC1008,LEC1135,17/10/2021,Semester 2,Completed
ENR10351,211241,ENG1001,LEC1098,20/11/2021,Semester 2,Completed
ENR10352,211242,AGR1006,LEC1106,30/06/2021,Semester 1,Completed
ENR10354,211243,ART1008,LEC1074,27/05/2021,Semester 1,Completed
ENR10355,211244,AGR1009,LEC1115,17/09/2021,Semester 2,Dropped
ENR10356,211245,AGR1005,LEC1114,22/01/2021,Semester 1,Dropped
ENR10358,211246,ENG1005,LEC1093,01/02/2021,Semester 1,Dropped
ENR10360,211247,COM1006,LEC1004,29/12/2021,Semester 2,Dropped
ENR10361,211248,ENG1008,LEC1099,09/11/2021,Semester 2,Completed
ENR10363,211249,SOC1010,LEC1141,14/12/2021,Semester 2,Completed
ENR10365,211250,MED1003,LEC1024,14/12/2021,Semester 2,Dropped
ENR10367,211251,MED1001,LEC1025,06/12/2021,Semester 2,Completed
ENR10369,211252,AGR1007,LEC1117,13/02/2021,Semester 1,Completed
ENR10370,211253,ARC1003,LEC1133,18/06/2021,Semester 1,Completed
ENR10372,211254,ENG1006,LEC1096,10/01/2021,Semester 1,Completed
ENR10374,211255,BUS1005,LEC1034,12/03/2021,Semester 1,Completed
ENR10376,211256,SOC1009,LEC1145,09/03/2021,Semester 1,Dropped
ENR10378,211257,COM1006,LEC1007,06/07/2021,Semester 2,Completed
ENR10380,211258,ENG1009,LEC1094,08/06/2021,Semester 1,Dropped
ENR10381,211259,ART1008,LEC1071,20/10/2021,Semester 2,Dropped
ENR10382,211260,SOC1009,LEC1140,15/07/2021,Semester 2,Dropped
ENR10384,211261,COM1007,LEC1011,04/09/2021,Semester 2,Completed
ENR10386,211262,MED1001,LEC1028,24/03/2021,Semester 1,Completed
ENR10388,211263,MED1002,LEC1030,24/04/2021,Semester 1,Dropped
ENR10390,211264,SCI1001,LEC1084,11/07/2021,Semester 2,Completed
ENR10391,211265,MED1001,LEC1021,25/04/2021,Semester 1,Completed
ENR10393,211266,MED1008,LEC1016,27/05/2021,Semester 1,Dropped
ENR10394,211267,SOC1008,LEC1147,29/08/2021,Semester 2,Dropped
ENR10395,211268,MED1001,LEC1016,12/05/2021,Semester 1,Completed
ENR10396,211269,AGR1001,LEC1117,08/11/2021,Semester 2,Dropped
ENR10397,211270,SOC1010,LEC1140,02/05/2021,Semester 1,Completed
ENR10398,211271,COM1007,LEC1004,03/08/2021,Semester 2,Dropped
ENR10399,211272,MED1005,LEC1029,13/09/2021,Semester 2,Completed
ENR10400,211273,SOC1002,LEC1138,30/05/2021,Semester 1,Dropped
ENR10401,211274,AGR1009,LEC1111,04/05/2021,Semester 1,Dropped
ENR10402,211275,ARC1006,LEC1131,13/02/2021,Semester 1,Completed
ENR10403,211276,ENG1008,LEC1099,17/09/2021,Semester 2,Completed
ENR10404,211277,ENG1001,LEC1091,22/11/2021,Semester 2,Dropped
ENR10406,211278,ART1005,LEC1064,03/12/2021,Semester 2,Completed
ENR10407,211279,MED1008,LEC1016,30/06/2021,Semester 1,Completed
ENR10409,211280,ARC1001,LEC1123,11/03/2021,Semester 1,Completed
ENR10411,211281,BUS1006,LEC1031,13/04/2021,Semester 1,Completed
ENR10413,211282,LAW1003,LEC1046,28/11/2021,Semester 2,Completed
ENR10415,211283,MED1006,LEC1028,08/07/2021,Semester 2,Dropped
ENR10417,211284,BUS1004,LEC1038,21/12/2021,Semester 2,Dropped
ENR10419,211285,SOC1004,LEC1142,10/02/2021,Semester 1,Dropped
ENR10420,211286,ENG1010,LEC1095,14/06/2021,Semester 1,Completed
ENR10421,211287,ART1002,LEC1071,01/06/2021,Semester 1,Completed
ENR10422,211288,AGR1008,LEC1117,07/08/2021,Semester 2,Completed
ENR10424,211289,SOC1004,LEC1149,30/06/2021,Semester 1,Dropped
ENR10425,211290,ARC1002,LEC1133,30/01/2021,Semester 1,Completed
ENR10427,211291,COM1004,LEC1003,08/11/2021,Semester 2,Dropped
ENR10428,211292,MED1007,LEC1017,01/05/2021,Semester 1,Completed
ENR10429,211293,ART1010,LEC1070,17/01/2021,Semester 1,Completed
ENR10431,211294,SOC1008,LEC1137,21/10/2021,Semester 2,Completed
ENR10433,211295,LAW1002,LEC1047,14/01/2021,Semester 1,Completed
ENR10435,211296,SOC1010,LEC1140,27/12/2021,Semester 2,Dropped
ENR10437,211297,MED1006,LEC1018,07/02/2021,Semester 1,Dropped
ENR10438,211298,SOC1002,LEC1143,14/02/2021,Semester 1,Completed
ENR10439,211299,SOC1001,LEC1137,09/10/2021,Semester 2,Completed
ENR10441,211300,ENG1006,LEC1094,04/03/2021,Semester 1,Completed
ENR10443,211301,AGR1001,LEC1115,08/07/2021,Semester 2,Dropped
ENR10445,211302,LAW1010,LEC1052,03/09/2021,Semester 2,Dropped
ENR10446,211303,AGR1004,LEC1107,06/03/2021,Semester 1,Completed
ENR10448,211304,MED1007,LEC1030,10/10/2021,Semester 2,Completed
ENR10450,211305,ENG1007,LEC1093,05/06/2021,Semester 1,Completed
ENR10451,211306,ART1002,LEC1075,30/12/2021,Semester 2,Completed
ENR10452,211307,ENG1007,LEC1105,26/05/2021,Semester 1,Completed
ENR10454,211308,ARC1001,LEC1125,11/11/2021,Semester 2,Completed
ENR10455,211309,AGR1006,LEC1115,20/03/2021,Semester 1,Completed
ENR10456,211310,AGR1003,LEC1106,15/01/2021,Semester 1,Completed
ENR10458,211311,SOC1009,LEC1145,02/08/2021,Semester 2,Completed
ENR10459,211312,ARC1001,LEC1129,29/05/2021,Semester 1,Completed
ENR10461,211313,SCI1009,LEC1077,19/12/2021,Semester 2,Completed
ENR10463,211314,BUS1007,LEC1036,07/11/2021,Semester 2,Completed
ENR10465,211315,MED1007,LEC1028,09/07/2021,Semester 2,Completed
ENR10467,211316,SCI1008,LEC1079,14/03/2021,Semester 1,Completed
ENR10469,211317,BUS1001,LEC1044,17/06/2021,Semester 1,Completed
ENR10470,211318,SOC1008,LEC1138,13/09/2021,Semester 2,Dropped
ENR10471,211319,LAW1010,LEC1053,12/01/2021,Semester 1,Completed
ENR10473,211320,AGR1005,LEC1111,25/01/2021,Semester 1,Completed
ENR10474,211321,ENG1004,LEC1100,01/12/2021,Semester 2,Dropped
ENR10476,211322,MED1008,LEC1030,16/05/2021,Semester 1,Completed
ENR10478,211323,COM1007,LEC1010,15/10/2021,Semester 2,Completed
ENR10480,211324,ENG1005,LEC1098,09/10/2021,Semester 2,Completed
ENR10482,211325,MED1003,LEC1022,11/07/2021,Semester 2,Completed
ENR10483,211326,SOC1007,LEC1138,12/04/2021,Semester 1,Dropped
ENR10485,211327,SOC1002,LEC1141,31/08/2021,Semester 2,Dropped
ENR10486,211328,AGR1008,LEC1120,21/09/2021,Semester 2,Completed
ENR10487,211329,AGR1009,LEC1111,25/03/2021,Semester 1,Dropped
ENR10489,211330,SOC1001,LEC1145,03/06/2021,Semester 1,Dropped
ENR10491,211331,AGR1005,LEC1110,19/12/2021,Semester 2,Completed
ENR10493,211332,AGR1005,LEC1113,29/03/2021,Semester 1,Dropped
ENR10494,211333,ARC1008,LEC1124,17/01/2021,Semester 1,Completed
ENR10495,211334,COM1003,LEC1008,10/06/2021,Semester 1,Dropped
ENR10496,211335,SCI1003,LEC1087,15/04/2021,Semester 1,Dropped
ENR10497,211336,SOC1005,LEC1147,01/02/2021,Semester 1,Completed
ENR10499,211337,ENG1008,LEC1097,10/06/2021,Semester 1,Completed
ENR10501,211338,ARC1007,LEC1133,15/12/2021,Semester 2,Completed
ENR10503,211339,AGR1002,LEC1110,26/04/2021,Semester 1,Completed
ENR10505,211340,ART1001,LEC1068,28/06/2021,Semester 1,Completed
ENR10507,211341,ART1005,LEC1073,16/03/2021,Semester 1,Completed
ENR10509,211342,ARC1004,LEC1125,03/09/2021,Semester 2,Completed
ENR10511,211343,MED1008,LEC1017,12/11/2021,Semester 2,Completed
ENR10513,211344,COM1007,LEC1002,31/07/2021,Semester 2,Completed
ENR10514,211345,MED1003,LEC1026,12/03/2021,Semester 1,Completed
ENR10516,211346,ENG1002,LEC1101,13/04/2021,Semester 1,Completed
ENR10518,211347,ARC1004,LEC1130,29/04/2021,Semester 1,Completed
ENR10519,211348,SCI1004,LEC1090,01/04/2021,Semester 1,Completed
ENR10520,211349,ENG1004,LEC1093,29/05/2021,Semester 1,Completed
ENR10522,211350,LAW1007,LEC1053,25/11/2021,Semester 2,Dropped
ENR10524,211351,BUS1005,LEC1043,27/02/2021,Semester 1,Completed
ENR10526,211352,COM1002,LEC1012,22/06/2021,Semester 1,Completed
ENR10527,211353,BUS1003,LEC1040,24/11/2021,Semester 2,Dropped
ENR10528,211354,ENG1006,LEC1096,14/02/2021,Semester 1,Dropped
ENR10530,211355,ART1002,LEC1075,08/05/2021,Semester 1,Completed
ENR10532,211356,ART1003,LEC1065,26/10/2021,Semester 2,Completed
ENR10534,211357,ARC1006,LEC1122,27/08/2021,Semester 2,Completed
ENR10535,211358,SCI1002,LEC1086,15/09/2021,Semester 2,Completed
ENR10536,211359,ARC1002,LEC1135,01/06/2021,Semester 1,Completed
ENR10537,211360,BUS1009,LEC1033,02/09/2021,Semester 2,Completed
ENR10538,211361,SOC1006,LEC1145,11/07/2021,Semester 2,Dropped
ENR10540,211362,ARC1008,LEC1133,02/11/2021,Semester 2,Completed
ENR10541,211363,ENG1008,LEC1102,05/07/2021,Semester 2,Completed
ENR10543,211364,BUS1002,LEC1036,24/09/2021,Semester 2,Dropped
ENR10544,211365,ARC1008,LEC1124,26/10/2021,Semester 2,Dropped
