grade_id,enrollment_id,student_id,course_id,grade_source,score,grade,grade_date
GRD10055,ENR10018,211013,SCI1010,Midterm,94,A,05/08/2021
GRD10056,ENR10018,211013,SCI1010,Final Exam,44,D,17/09/2021
GRD10057,ENR10019,211014,SOC1009,Quiz,52,D,13/03/2021
GRD10058,ENR10019,211014,SOC1009,Assignment,59,C-,01/04/2021
GRD10059,ENR10019,211014,SOC1009,Midterm,52,D,22/04/2021
GRD10060,ENR10019,211014,SOC1009,Final Exam,53,D,11/06/2021
GRD10061,ENR10021,211015,COM1009,Quiz,73,B-,01/12/2021
GRD10062,ENR10021,211015,COM1009,Assignment,73,B-,18/12/2021
GRD10063,ENR10021,211015,COM1009,Midterm,62,C,08/01/2022
GRD10064,ENR10021,211015,COM1009,Final Exam,87,A-,16/02/2022
GRD10065,ENR10023,211016,MED1009,Quiz,60,C,17/04/2021
GRD10066,ENR10023,211016,MED1009,Assignment,53,D,05/05/2021
GRD10067,ENR10023,211016,MED1009,Midterm,65,C+,28/05/2021
GRD10068,ENR10023,211016,MED1009,Final Exam,70,B-,14/07/2021
GRD10069,ENR10025,211017,AGR1005,Quiz,45,D,17/08/2021
GRD10070,ENR10025,211017,AGR1005,Assignment,69,C+,27/08/2021
GRD10071,ENR10025,211017,AGR1005,Midterm,63,C,21/09/2021
GRD10072,ENR10025,211017,AGR1005,Final Exam,69,C+,11/11/2021
GRD10073,ENR10027,211018,MED1005,Quiz,68,C+,30/12/2021
GRD10074,ENR10027,211018,MED1005,Assignment,71,B-,08/01/2022
GRD10075,ENR10027,211018,MED1005,Midterm,75,B,07/02/2022
GRD10076,ENR10027,211018,MED1005,Final Exam,60,C,28/03/2022
GRD10077,ENR10028,211019,AGR1007,Quiz,71,B-,16/08/2021
GRD10078,ENR10028,211019,AGR1007,Assignment,75,B,17/09/2021
GRD10079,ENR10028,211019,AGR1007,Midterm,83,B+,03/10/2021
GRD10080,ENR10028,211019,AGR1007,Final Exam,58,C-,16/11/2021
GRD10081,ENR10030,211020,ARC1008,Quiz,67,C+,06/04/2021
GRD10082,ENR10030,211020,ARC1008,Assignment,65,C+,26/04/2021
GRD10083,ENR10030,211020,ARC1008,Midterm,88,A-,15/05/2021
GRD10084,ENR10030,211020,ARC1008,Final Exam,43,D,11/07/2021
GRD10085,ENR10031,211021,MED1005,Quiz,36,F,24/09/2021
GRD10086,ENR10031,211021,MED1005,Assignment,83,B+,02/10/2021
GRD10087,ENR10031,211021,MED1005,Midterm,68,C+,28/10/2021
GRD10088,ENR10031,211021,MED1005,Final Exam,80,B+,11/12/2021
GRD10089,ENR10033,211022,ARC1001,Quiz,68,C+,28/12/2021
GRD10090,ENR10033,211022,ARC1001,Assignment,97,A+,17/01/2022
GRD10091,ENR10033,211022,ARC1001,Midterm,69,C+,17/02/2022
GRD10092,ENR10033,211022,ARC1001,Final Exam,72,B-,27/03/2022
GRD10093,ENR10034,211023,ART1008,Quiz,60,C,02/05/2021
GRD10094,ENR10034,211023,ART1008,Assignment,80,B+,24/05/2021
GRD10095,ENR10034,211023,ART1008,Midterm,60,C,16/06/2021
GRD10096,ENR10034,211023,ART1008,Final Exam,69,C+,24/07/2021
GRD10097,ENR10035,211024,ENG1003,Quiz,53,D,30/03/2021
GRD10098,ENR10035,211024,ENG1003,Assignment,91,A,27/04/2021
GRD10099,ENR10035,211024,ENG1003,Midterm,48,D,19/05/2021
GRD10100,ENR10035,211024,ENG1003,Final Exam,54,D,30/06/2021
GRD10101,ENR10037,211025,MED1001,Quiz,70,B-,15/10/2021
GRD10102,ENR10037,211025,MED1001,Assignment,59,C-,04/11/2021
GRD10103,ENR10037,211025,MED1001,Midterm,67,C+,23/11/2021
GRD10104,ENR10037,211025,MED1001,Final Exam,75,B,07/01/2022
GRD10105,ENR10038,211026,MED1007,Quiz,61,C,11/10/2021
GRD10106,ENR10038,211026,MED1007,Assignment,87,A-,26/10/2021
GRD10107,ENR10038,211026,MED1007,Midterm,91,A,15/11/2021
GRD10108,ENR10038,211026,MED1007,Final Exam,69,C+,31/12/2021
GRD10109,ENR10039,211027,ENG1008,Quiz,48,D,15/12/2021
GRD10110,ENR10039,211027,ENG1008,Assignment,67,C+,10/01/2022
GRD10111,ENR10039,211027,ENG1008,Midterm,48,D,26/01/2022
GRD10112,ENR10039,211027,ENG1008,Final Exam,58,C-,20/03/2022
GRD10113,ENR10041,211028,SCI1002,Quiz,67,C+,07/01/2022
GRD10114,ENR10041,211028,SCI1002,Assignment,100,A+,26/01/2022
GRD10115,ENR10041,211028,SCI1002,Midterm,43,D,16/02/2022
GRD10116,ENR10041,211028,SCI1002,Final Exam,91,A,12/04/2022
GRD10117,ENR10043,211029,LAW1002,Quiz,55,C-,18/03/2021
GRD10118,ENR10043,211029,LAW1002,Assignment,64,C,26/03/2021
GRD10119,ENR10043,211029,LAW1002,Midterm,64,C,21/04/2021
GRD10120,ENR10043,211029,LAW1002,Final Exam,73,B-,12/06/2021
GRD10121,ENR10044,211030,AGR1006,Quiz,74,B-,05/06/2021
GRD10122,ENR10044,211030,AGR1006,Assignment,70,B-,18/06/2021
GRD10123,ENR10044,211030,AGR1006,Midterm,74,B-,12/07/2021
GRD10124,ENR10044,211030,AGR1006,Final Exam,37,F,05/09/2021
GRD10125,ENR10045,211031,COM1010,Quiz,92,A,31/12/2021
GRD10126,ENR10045,211031,COM1010,Assignment,76,B,17/01/2022
GRD10127,ENR10045,211031,COM1010,Midterm,36,F,17/02/2022
GRD10128,ENR10045,211031,COM1010,Final Exam,72,B-,28/03/2022
GRD10129,ENR10046,211032,COM1009,Quiz,40,D,25/02/2021
GRD10130,ENR10046,211032,COM1009,Assignment,76,B,10/03/2021
GRD10131,ENR10046,211032,COM1009,Midterm,40,D,16/04/2021
GRD10132,ENR10046,211032,COM1009,Final Exam,90,A,31/05/2021
GRD10133,ENR10047,211033,ENG1006,Quiz,66,C+,02/07/2021
GRD10134,ENR10047,211033,ENG1006,Assignment,64,C,26/07/2021
GRD10135,ENR10047,211033,ENG1006,Midterm,89,A-,17/08/2021
GRD10136,ENR10047,211033,ENG1006,Final Exam,48,D,03/10/2021
GRD10137,ENR10048,211034,ENG1010,Quiz,56,C-,03/12/2021
GRD10138,ENR10048,211034,ENG1010,Assignment,72,B-,20/12/2021
GRD10139,ENR10048,211034,ENG1010,Midterm,96,A+,15/01/2022
GRD10140,ENR10048,211034,ENG1010,Final Exam,73,B-,21/02/2022
GRD10141,ENR10049,211035,ENG1001,Quiz,55,C-,02/09/2021
GRD10142,ENR10049,211035,ENG1001,Assignment,97,A+,19/09/2021
GRD10143,ENR10049,211035,ENG1001,Midterm,58,C-,16/10/2021
GRD10144,ENR10049,211035,ENG1001,Final Exam,61,C,28/11/2021
GRD10145,ENR10050,211036,MED1003,Quiz,38,F,14/09/2021
GRD10146,ENR10050,211036,MED1003,Assignment,65,C+,10/10/2021
GRD10147,ENR10050,211036,MED1003,Midterm,64,C,29/10/2021
GRD10148,ENR10050,211036,MED1003,Final Exam,78,B,12/12/2021
GRD10149,ENR10051,211037,SCI1003,Quiz,91,A,13/03/2021
GRD10150,ENR10051,211037,SCI1003,Assignment,92,A,28/03/2021
GRD10151,ENR10051,211037,SCI1003,Midterm,94,A,13/04/2021
GRD10152,ENR10051,211037,SCI1003,Final Exam,51,D,02/06/2021
GRD10153,ENR10053,211038,BUS1005,Quiz,75,B,07/11/2021
GRD10154,ENR10053,211038,BUS1005,Assignment,88,A-,22/11/2021
GRD10155,ENR10053,211038,BUS1005,Midterm,64,C,19/12/2021
GRD10156,ENR10053,211038,BUS1005,Final Exam,58,C-,30/01/2022
GRD10157,ENR10054,211039,SCI1005,Quiz,69,C+,02/07/2021
GRD10158,ENR10054,211039,SCI1005,Assignment,83,B+,17/07/2021
GRD10159,ENR10054,211039,SCI1005,Midterm,67,C+,15/08/2021
GRD10160,ENR10054,211039,SCI1005,Final Exam,60,C,01/10/2021
GRD10161,ENR10055,211040,COM1010,Quiz,98,A+,12/11/2021
GRD10162,ENR10055,211040,COM1010,Assignment,85,A-,04/12/2021
GRD10163,ENR10055,211040,COM1010,Midterm,78,B,25/12/2021
GRD10164,ENR10055,211040,COM1010,Final Exam,58,C-,16/02/2022
GRD10165,ENR10056,211041,ARC1004,Quiz,72,B-,16/02/2021
GRD10166,ENR10056,211041,ARC1004,Assignment,76,B,07/03/2021
GRD10167,ENR10056,211041,ARC1004,Midterm,84,B+,28/03/2021
GRD10168,ENR10056,211041,ARC1004,Final Exam,59,C-,17/05/2021
GRD10169,ENR10057,211042,BUS1002,Quiz,77,B,13/10/2021
GRD10170,ENR10057,211042,BUS1002,Assignment,73,B-,03/11/2021
GRD10171,ENR10057,211042,BUS1002,Midterm,66,C+,30/11/2021
GRD10172,ENR10057,211042,BUS1002,Final Exam,53,D,14/01/2022
GRD10173,ENR10058,211043,SCI1002,Quiz,75,B,03/03/2021
GRD10174,ENR10058,211043,SCI1002,Assignment,83,B+,01/04/2021
GRD10175,ENR10058,211043,SCI1002,Midterm,61,C,18/04/2021
GRD10176,ENR10058,211043,SCI1002,Final Exam,38,F,07/06/2021
GRD10177,ENR10059,211044,COM1001,Quiz,71,B-,22/06/2021
GRD10178,ENR10059,211044,COM1001,Assignment,79,B,08/07/2021
GRD10179,ENR10059,211044,COM1001,Midterm,76,B,06/08/2021
GRD10180,ENR10059,211044,COM1001,Final Exam,61,C,23/09/2021
GRD10181,ENR10061,211045,BUS1005,Quiz,71,B-,03/06/2021
GRD10182,ENR10061,211045,BUS1005,Assignment,72,B-,23/06/2021
GRD10183,ENR10061,211045,BUS1005,Midterm,98,A+,13/07/2021
GRD10184,ENR10061,211045,BUS1005,Final Exam,38,F,03/09/2021
GRD10185,ENR10062,211046,SOC1006,Quiz,87,A-,03/03/2021
GRD10186,ENR10062,211046,SOC1006,Assignment,88,A-,29/03/2021
GRD10187,ENR10062,211046,SOC1006,Midterm,68,C+,24/04/2021
GRD10188,ENR10062,211046,SOC1006,Final Exam,88,A-,05/06/2021
GRD10189,ENR10063,211047,ENG1005,Quiz,88,A-,05/11/2021
GRD10190,ENR10063,211047,ENG1005,Assignment,97,A+,25/11/2021
GRD10191,ENR10063,211047,ENG1005,Midterm,61,C,26/12/2021
GRD10192,ENR10063,211047,ENG1005,Final Exam,78,B,03/02/2022
GRD10193,ENR10065,211048,AGR1007,Quiz,74,B-,18/01/2022
GRD10194,ENR10065,211048,AGR1007,Assignment,57,C-,03/02/2022
GRD10195,ENR10065,211048,AGR1007,Midterm,62,C,11/03/2022
GRD10196,ENR10065,211048,AGR1007,Final Exam,66,C+,13/04/2022
GRD10197,ENR10066,211049,MED1006,Quiz,61,C,29/11/2021
GRD10198,ENR10066,211049,MED1006,Assignment,68,C+,14/12/2021
GRD10199,ENR10066,211049,MED1006,Midterm,63,C,08/01/2022
GRD10200,ENR10066,211049,MED1006,Final Exam,41,D,22/02/2022
GRD10201,ENR10068,211050,ARC1005,Quiz,99,A+,27/11/2021
GRD10202,ENR10068,211050,ARC1005,Assignment,44,D,12/12/2021
GRD10203,ENR10068,211050,ARC1005,Midterm,67,C+,04/01/2022
GRD10204,ENR10068,211050,ARC1005,Final Exam,76,B,22/02/2022
GRD10205,ENR10070,211051,LAW1004,Quiz,78,B,20/04/2021
GRD10206,ENR10070,211051,LAW1004,Assignment,83,B+,05/05/2021
GRD10207,ENR10070,211051,LAW1004,Midterm,58,C-,30/05/2021
GRD10208,ENR10070,211051,LAW1004,Final Exam,40,D,17/07/2021
GRD10209,ENR10071,211052,ART1001,Quiz,76,B,20/03/2021
GRD10210,ENR10071,211052,ART1001,Assignment,63,C,12/04/2021
GRD10211,ENR10071,211052,ART1001,Midterm,54,D,01/05/2021
GRD10212,ENR10071,211052,ART1001,Final Exam,41,D,16/06/2021
GRD10213,ENR10073,211053,ENG1009,Quiz,70,B-,18/10/2021
GRD10214,ENR10073,211053,ENG1009,Assignment,82,B+,19/11/2021
GRD10215,ENR10073,211053,ENG1009,Midterm,65,C+,05/12/2021
GRD10216,ENR10073,211053,ENG1009,Final Exam,61,C,22/01/2022
GRD10217,ENR10074,211054,ART1005,Quiz,63,C,11/03/2021
GRD10218,ENR10074,211054,ART1005,Assignment,86,A-,31/03/2021
GRD10219,ENR10074,211054,ART1005,Midterm,87,A-,21/04/2021
GRD10220,ENR10074,211054,ART1005,Final Exam,70,B-,10/06/2021
GRD10221,ENR10075,211055,LAW1007,Quiz,60,C,24/09/2021
GRD10222,ENR10075,211055,LAW1007,Assignment,90,A,14/10/2021
GRD10223,ENR10075,211055,LAW1007,Midterm,38,F,30/10/2021
GRD10224,ENR10075,211055,LAW1007,Final Exam,89,A-,13/12/2021
GRD10225,ENR10077,211056,ARC1005,Quiz,63,C,19/04/2021
GRD10226,ENR10077,211056,ARC1005,Assignment,61,C,06/05/2021
GRD10227,ENR10077,211056,ARC1005,Midterm,75,B,26/05/2021
GRD10228,ENR10077,211056,ARC1005,Final Exam,65,C+,20/07/2021
GRD10229,ENR10079,211057,LAW1007,Quiz,84,B+,19/05/2021
GRD10230,ENR10079,211057,LAW1007,Assignment,74,B-,16/06/2021
GRD10231,ENR10079,211057,LAW1007,Midterm,76,B,08/07/2021
GRD10232,ENR10079,211057,LAW1007,Final Exam,93,A,17/08/2021
GRD10233,ENR10081,211058,LAW1003,Quiz,73,B-,27/02/2021
GRD10234,ENR10081,211058,LAW1003,Assignment,84,B+,31/03/2021
GRD10235,ENR10081,211058,LAW1003,Midterm,71,B-,24/04/2021
GRD10236,ENR10081,211058,LAW1003,Final Exam,90,A,01/06/2021
GRD10237,ENR10083,211059,ART1003,Quiz,67,C+,08/04/2021
GRD10238,ENR10083,211059,ART1003,Assignment,75,B,27/04/2021
GRD10239,ENR10083,211059,ART1003,Midterm,87,A-,23/05/2021
GRD10240,ENR10083,211059,ART1003,Final Exam,62,C,16/07/2021
GRD10241,ENR10084,211060,SOC1005,Quiz,87,A-,20/11/2021
GRD10242,ENR10084,211060,SOC1005,Assignment,61,C,10/12/2021
GRD10243,ENR10084,211060,SOC1005,Midterm,67,C+,02/01/2022
GRD10244,ENR10084,211060,SOC1005,Final Exam,88,A-,19/02/2022
GRD10245,ENR10085,211061,MED1005,Quiz,68,C+,01/02/2022
GRD10246,ENR10085,211061,MED1005,Assignment,84,B+,13/02/2022
GRD10247,ENR10085,211061,MED1005,Midterm,81,B+,09/03/2022
GRD10248,ENR10085,211061,MED1005,Final Exam,83,B+,01/05/2022
GRD10249,ENR10086,211062,ART1008,Quiz,69,C+,19/11/2021
GRD10250,ENR10086,211062,ART1008,Assignment,70,B-,06/12/2021
GRD10251,ENR10086,211062,ART1008,Midterm,82,B+,31/12/2021
GRD10252,ENR10086,211062,ART1008,Final Exam,57,C-,12/02/2022
GRD10253,ENR10087,211063,MED1007,Quiz,64,C,18/07/2021
GRD10254,ENR10087,211063,MED1007,Assignment,98,A+,27/07/2021
GRD10255,ENR10087,211063,MED1007,Midterm,66,C+,22/08/2021
GRD10256,ENR10087,211063,MED1007,Final Exam,58,C-,12/10/2021
GRD10257,ENR10089,211064,ARC1006,Quiz,73,B-,11/08/2021
GRD10258,ENR10089,211064,ARC1006,Assignment,77,B,27/08/2021
GRD10259,ENR10089,211064,ARC1006,Midterm,71,B-,18/09/2021
GRD10260,ENR10089,211064,ARC1006,Final Exam,56,C-,02/11/2021
GRD10261,ENR10090,211065,LAW1001,Quiz,75,B,01/05/2021
GRD10262,ENR10090,211065,LAW1001,Assignment,75,B,20/05/2021
GRD10263,ENR10090,211065,LAW1001,Midterm,98,A+,13/06/2021
GRD10264,ENR10090,211065,LAW1001,Final Exam,63,C,27/07/2021
GRD10265,ENR10091,211066,COM1004,Quiz,61,C,21/07/2021
GRD10266,ENR10091,211066,COM1004,Assignment,85,A-,10/08/2021
GRD10267,ENR10091,211066,COM1004,Midterm,72,B-,06/09/2021
GRD10268,ENR10091,211066,COM1004,Final Exam,58,C-,22/10/2021
GRD10269,ENR10093,211067,ARC1010,Quiz,78,B,23/08/2021
GRD10270,ENR10093,211067,ARC1010,Assignment,65,C+,16/09/2021
GRD10271,ENR10093,211067,ARC1010,Midterm,56,C-,03/10/2021
GRD10272,ENR10093,211067,ARC1010,Final Exam,45,D,23/11/2021
GRD10273,ENR10094,211068,BUS1009,Quiz,67,C+,23/09/2021
GRD10274,ENR10094,211068,BUS1009,Assignment,98,A+,17/10/2021
GRD10275,ENR10094,211068,BUS1009,Midterm,72,B-,17/11/2021
GRD10276,ENR10094,211068,BUS1009,Final Exam,87,A-,23/12/2021
GRD10277,ENR10096,211069,ARC1005,Quiz,89,A-,27/08/2021
GRD10278,ENR10096,211069,ARC1005,Assignment,77,B,17/09/2021
GRD10279,ENR10096,211069,ARC1005,Midterm,55,C-,11/10/2021
GRD10280,ENR10096,211069,ARC1005,Final Exam,97,A+,22/11/2021
GRD10281,ENR10097,211070,COM1009,Quiz,86,A-,29/06/2021
GRD10282,ENR10097,211070,COM1009,Assignment,55,C-,14/07/2021
GRD10283,ENR10097,211070,COM1009,Midterm,59,C-,10/08/2021
GRD10284,ENR10097,211070,COM1009,Final Exam,48,D,21/09/2021
GRD10285,ENR10099,211071,MED1005,Quiz,76,B,22/06/2021
GRD10286,ENR10099,211071,MED1005,Assignment,79,B,06/07/2021
GRD10287,ENR10099,211071,MED1005,Midterm,76,B,04/08/2021
GRD10288,ENR10099,211071,MED1005,Final Exam,84,B+,24/09/2021
GRD10289,ENR10100,211072,COM1005,Quiz,76,B,06/12/2021
GRD10290,ENR10100,211072,COM1005,Assignment,70,B-,31/12/2021
GRD10291,ENR10100,211072,COM1005,Midterm,91,A,28/01/2022
GRD10292,ENR10100,211072,COM1005,Final Exam,56,C-,06/03/2022
GRD10293,ENR10102,211073,ART1010,Quiz,72,B-,25/11/2021
GRD10294,ENR10102,211073,ART1010,Assignment,60,C,14/12/2021
GRD10295,ENR10102,211073,ART1010,Midterm,42,D,17/01/2022
GRD10296,ENR10102,211073,ART1010,Final Exam,67,C+,20/02/2022
GRD10297,ENR10103,211074,COM1006,Quiz,62,C,22/09/2021
GRD10298,ENR10103,211074,COM1006,Assignment,91,A,11/10/2021
GRD10299,ENR10103,211074,COM1006,Midterm,57,C-,07/11/2021
GRD10300,ENR10103,211074,COM1006,Final Exam,79,B,20/12/2021
GRD10301,ENR10105,211075,SCI1006,Quiz,83,B+,12/01/2022
GRD10302,ENR10105,211075,SCI1006,Assignment,61,C,05/02/2022
GRD10303,ENR10105,211075,SCI1006,Midterm,57,C-,05/03/2022
GRD10304,ENR10105,211075,SCI1006,Final Exam,45,D,08/04/2022
GRD10305,ENR10107,211076,ENG1005,Quiz,89,A-,18/01/2022
GRD10306,ENR10107,211076,ENG1005,Assignment,84,B+,03/02/2022
GRD10307,ENR10107,211076,ENG1005,Midterm,49,D,04/03/2022
GRD10308,ENR10107,211076,ENG1005,Final Exam,62,C,15/04/2022
GRD10309,ENR10109,211077,BUS1005,Quiz,68,C+,07/01/2022
GRD10310,ENR10109,211077,BUS1005,Assignment,76,B,06/02/2022
GRD10311,ENR10109,211077,BUS1005,Midterm,62,C,20/02/2022
GRD10312,ENR10109,211077,BUS1005,Final Exam,54,D,15/04/2022
GRD10313,ENR10110,211078,AGR1009,Quiz,100,A+,17/07/2021
GRD10314,ENR10110,211078,AGR1009,Assignment,65,C+,05/08/2021
GRD10315,ENR10110,211078,AGR1009,Midterm,77,B,26/08/2021
GRD10316,ENR10110,211078,AGR1009,Final Exam,74,B-,04/10/2021
GRD10317,ENR10111,211079,LAW1009,Quiz,96,A+,28/05/2021
GRD10318,ENR10111,211079,LAW1009,Assignment,81,B+,14/06/2021
GRD10319,ENR10111,211079,LAW1009,Midterm,62,C,07/07/2021
GRD10320,ENR10111,211079,LAW1009,Final Exam,72,B-,21/08/2021
GRD10321,ENR10112,211080,SCI1010,Quiz,68,C+,18/09/2021
GRD10322,ENR10112,211080,SCI1010,Assignment,86,A-,17/10/2021
GRD10323,ENR10112,211080,SCI1010,Midterm,70,B-,05/11/2021
GRD10324,ENR10112,211080,SCI1010,Final Exam,49,D,18/12/2021
GRD10325,ENR10114,211081,ENG1006,Quiz,58,C-,03/01/2022
GRD10326,ENR10114,211081,ENG1006,Assignment,70,B-,20/01/2022
GRD10327,ENR10114,211081,ENG1006,Midterm,87,A-,10/02/2022
GRD10328,ENR10114,211081,ENG1006,Final Exam,43,D,26/03/2022
GRD10329,ENR10116,211082,BUS1006,Quiz,77,B,22/02/2021
GRD10330,ENR10116,211082,BUS1006,Assignment,70,B-,07/03/2021
GRD10331,ENR10116,211082,BUS1006,Midterm,61,C,12/04/2021
GRD10332,ENR10116,211082,BUS1006,Final Exam,58,C-,14/05/2021
GRD10333,ENR10117,211083,ENG1001,Quiz,44,D,21/03/2021
GRD10334,ENR10117,211083,ENG1001,Assignment,66,C+,02/04/2021
GRD10335,ENR10117,211083,ENG1001,Midterm,69,C+,29/04/2021
GRD10336,ENR10117,211083,ENG1001,Final Exam,46,D,14/06/2021
GRD10337,ENR10118,211084,ARC1001,Quiz,100,A+,23/05/2021
GRD10338,ENR10118,211084,ARC1001,Assignment,62,C,07/06/2021
GRD10339,ENR10118,211084,ARC1001,Midterm,76,B,07/07/2021
GRD10340,ENR10118,211084,ARC1001,Final Exam,68,C+,11/08/2021
GRD10341,ENR10120,211085,SOC1007,Quiz,66,C+,01/04/2021
GRD10342,ENR10120,211085,SOC1007,Assignment,64,C,23/04/2021
GRD10343,ENR10120,211085,SOC1007,Midterm,72,B-,23/05/2021
GRD10344,ENR10120,211085,SOC1007,Final Exam,41,D,29/06/2021
GRD10345,ENR10121,211086,BUS1003,Quiz,98,A+,26/01/2022
GRD10346,ENR10121,211086,BUS1003,Assignment,84,B+,22/02/2022
GRD10347,ENR10121,211086,BUS1003,Midterm,64,C,17/03/2022
GRD10348,ENR10121,211086,BUS1003,Final Exam,97,A+,05/05/2022
GRD10349,ENR10122,211087,AGR1002,Quiz,59,C-,10/04/2021
GRD10350,ENR10122,211087,AGR1002,Assignment,69,C+,05/05/2021
GRD10351,ENR10122,211087,AGR1002,Midterm,68,C+,01/06/2021
GRD10352,ENR10122,211087,AGR1002,Final Exam,61,C,13/07/2021
GRD10353,ENR10123,211088,SCI1010,Quiz,63,C,01/11/2021
GRD10354,ENR10123,211088,SCI1010,Assignment,96,A+,18/11/2021
GRD10355,ENR10123,211088,SCI1010,Midterm,63,C,24/12/2021
GRD10356,ENR10123,211088,SCI1010,Final Exam,86,A-,02/02/2022
GRD10357,ENR10124,211089,AGR1009,Quiz,100,A+,18/10/2021
GRD10358,ENR10124,211089,AGR1009,Assignment,70,B-,07/11/2021
GRD10359,ENR10124,211089,AGR1009,Midterm,69,C+,05/12/2021
GRD10360,ENR10124,211089,AGR1009,Final Exam,87,A-,15/01/2022
GRD10361,ENR10126,211090,LAW1004,Quiz,68,C+,06/06/2021
GRD10362,ENR10126,211090,LAW1004,Assignment,86,A-,09/07/2021
GRD10363,ENR10126,211090,LAW1004,Midterm,72,B-,22/07/2021
GRD10364,ENR10126,211090,LAW1004,Final Exam,67,C+,09/09/2021
GRD10365,ENR10128,211091,LAW1006,Quiz,76,B,21/03/2021
GRD10366,ENR10128,211091,LAW1006,Assignment,57,C-,13/04/2021
GRD10367,ENR10128,211091,LAW1006,Midterm,78,B,01/05/2021
GRD10368,ENR10128,211091,LAW1006,Final Exam,100,A+,20/06/2021
GRD10369,ENR10129,211092,LAW1005,Quiz,87,A-,26/07/2021
GRD10370,ENR10129,211092,LAW1005,Assignment,79,B,03/08/2021
GRD10371,ENR10129,211092,LAW1005,Midterm,57,C-,30/08/2021
